Date,AsianPaints Open,AsianPaints High,AsianPaints Low,AsianPaints close,AsianPaints Adj Close,Asian paintsVolume,DMart Open,DMart High,DMart Low,DMart Close,Dmart Adj Close,DMart Volume,,Dropdown for Comparison,,,,,,,,,,,,,,,,Date,DMart Open,AsianPaints Open
12/23/2021,3290,3307.899902,3250,3267.899902,3244.493652,1051596,4695.200195,4695.200195,4635,4648.700195,4648.700195,11913,,,,,,,,,,,,,,,,,,12/23/2021,4695.200195,3290
12/24/2021,3280,3300,3261,3284.800049,3261.272705,651404,4675.25,4675.25,4615,4627.200195,4627.200195,13971,,,,,,,,,,,,,,,,,,12/24/2021,4675.25,3280
12/27/2021,3280.100098,3284.75,3226.199951,3272.399902,3248.961426,640701,4620,4679.350098,4559,4669.25,4669.25,13871,,,,,,,,,,,,,,,,,,12/27/2021,4620,3280.100098
12/28/2021,3275.949951,3375,3273,3368.199951,3344.075439,1211648,4675,4759,4644.149902,4722.049805,4722.049805,26702,,,,,,,,,,,,,,,,,,12/28/2021,4675,3275.949951
12/29/2021,3372.199951,3386,3346.199951,3367.449951,3343.330566,598421,4739,4748,4670.899902,4682.25,4682.25,46783,,,,,,,,,,,,,,,,,,12/29/2021,4739,3372.199951
12/30/2021,3363.25,3390,3350.300049,3365.699951,3341.593018,691223,4683,4696.850098,4630,4638.799805,4638.799805,10620,,,,,,,,,,,,,,,,,,12/30/2021,4683,3363.25
12/31/2021,3390,3405,3361.399902,3382.949951,3358.719727,570671,4638.799805,4689.450195,4638.799805,4669.700195,4669.700195,15530,,,,,,,,,,,,,,,,,,12/31/2021,4638.799805,3390
1/3/2022,3383,3440.899902,3383,3422.399902,3397.887207,696276,4770,4799,4704.100098,4712.649902,4712.649902,33568,,,,,,,,,,,,,,,,,,1/3/2022,4770,3383
1/4/2022,3434,3472.449951,3415.050049,3459.300049,3434.522949,790886,4765,4765,4687,4723.100098,4723.100098,29999,,,,,,,,,,,,,,,,,,1/4/2022,4765,3434
1/5/2022,3470,3540,3452.050049,3526.800049,3501.539551,1024506,4724,4725,4648.799805,4687.5,4687.5,11811,,,,,,,,,,,,,,,,,,1/5/2022,4724,3470
1/6/2022,3491.149902,3537.550049,3452.149902,3514.649902,3489.476318,1312743,4650,4718.25,4632,4705.299805,4705.299805,26005,,,,,,,,,,,,,,,,,,1/6/2022,4650,3491.149902
1/7/2022,3514.649902,3582,3496.550049,3576.300049,3550.684814,964364,4725,4748.950195,4698,4730.850098,4730.850098,13215,,,,,,,,,,,,,,,,,,1/7/2022,4725,3514.649902
1/10/2022,3580,3590,3527,3553.5,3528.048096,657511,4798.899902,4798.899902,4620,4633.049805,4633.049805,37235,,,,,,,,,,,,,,,,,,1/10/2022,4798.899902,3580
1/11/2022,3550.600098,3564,3495.050049,3538.75,3513.403809,734344,4651,4651,4500,4506.200195,4506.200195,31491,,,,,,,,,,,,,,,,,,1/11/2022,4651,3550.600098
1/12/2022,3556.899902,3582.449951,3534,3543.800049,3518.417725,594543,4499,4499,4165.100098,4277.799805,4277.799805,211117,,,,,,,,,,,,,,,,,,1/12/2022,4499,3556.899902
1/13/2022,3560,3560,3450,3456.25,3431.494629,1153984,4299.899902,4356.799805,4223.649902,4255.25,4255.25,104496,,,,,,,,,,,,,,,,,,1/13/2022,4299.899902,3560
1/14/2022,3462,3462,3346,3364.399902,3340.30249,1558978,4270,4347,4255.25,4323.600098,4323.600098,73803,,,,,,,,,,,,,,,,,,1/14/2022,4270,3462
1/17/2022,3364.399902,3399,3321,3378.649902,3354.450195,1103159,4353.600098,4412.049805,4291,4399.149902,4399.149902,68616,,,,,,,,,,,,,,,,,,1/17/2022,4353.600098,3364.399902
1/18/2022,3379.050049,3396.449951,3351,3373.699951,3349.535889,558543,4440,4503.600098,4384.649902,4439.850098,4439.850098,32030,,,,,,,,,,,,,,,,,,1/18/2022,4440,3379.050049
1/19/2022,3370,3370,3267.75,3280.399902,3256.904053,1495218,4447,4503.600098,4365.100098,4474.399902,4474.399902,18767,,,,,,,,,,,,,,,,,,1/19/2022,4447,3370
1/20/2022,3282,3364.899902,3222,3306.399902,3282.717773,3075678,4505,4515,4465,4486.600098,4486.600098,16185,,,,,,,,,,,,,,,,,,1/20/2022,4505,3282
1/21/2022,3300.050049,3324.949951,3241.75,3274.850098,3251.394043,1441694,4410,4430.450195,4282,4301.399902,4301.399902,65573,,,,,,,,,,,,,,,,,,1/21/2022,4410,3300.050049
1/24/2022,3268,3270,3135,3155.149902,3132.55127,1575665,4300,4316,3975.25,4036.399902,4036.399902,133461,,,,,,,,,,,,,,,,,,1/24/2022,4300,3268
1/25/2022,3100,3156.949951,3010.75,3147.100098,3124.559082,2699779,4015,4120,3881.050049,4094.25,4094.25,84559,,,,,,,,,,,,,,,,,,1/25/2022,4015,3100
1/27/2022,3140.100098,3143,3071.25,3116.949951,3094.624756,1834684,4068.5,4145.200195,3997.850098,4063.350098,4063.350098,30797,,,,,,,,,,,,,,,,,,1/27/2022,4068.5,3140.100098
1/28/2022,3130,3170,3103,3110.850098,3088.568604,892060,4112,4150,4050,4072,4072,42699,,,,,,,,,,,,,,,,,,1/28/2022,4112,3130
1/31/2022,3140,3193.449951,3136.399902,3152.25,3129.672119,944530,4140,4167.75,4095,4116.399902,4116.399902,14671,,,,,,,,,,,,,,,,,,1/31/2022,4140,3140
2/1/2022,3194,3212.350098,3141.600098,3196.25,3173.356934,1008915,4140,4275,4089.100098,4223.149902,4223.149902,37392,,,,,,,,,,,,,,,,,,2/1/2022,4140,3194
2/2/2022,3204.800049,3244.149902,3192.149902,3197.699951,3174.796387,667265,4283,4283,4213.549805,4243.299805,4243.299805,14377,,,,,,,,,,,,,,,,,,2/2/2022,4283,3204.800049
2/3/2022,3212.850098,3241.600098,3190.199951,3203,3180.058594,899753,4249.950195,4249.950195,4125,4138.5,4138.5,32029,,,,,,,,,,,,,,,,,,2/3/2022,4249.950195,3212.850098
